"","Operator","tot_operator_wells","avg_depth","avg_atrisk_depth","tot_feestate_wells","tot_atrisk","tot_atrisk_feestate","BOEperday","tier","bond","liability1","liability2","liability3","liability4","liability5","liability1_atrisk","liability2_atrisk","liability3_atrisk","liability4_atrisk","liability5_atrisk","liability1_feestate","liability2_feestate","liability3_feestate","liability4_feestate","liability5_feestate","liability1_feestate_atrisk","liability2_feestate_atrisk","liability3_feestate_atrisk","liability4_feestate_atrisk","liability5_feestate_atrisk","liability5_pct","liability5fs_pct","liability5ar_pct","liability5arfs_pct"
"1","American Gilsonite Co",1,1600,NA,1,0,0,0,"No tier",NA,37500,75000,9600,19200,14400,NA,NA,NA,NA,NA,37500,75000,9600,19200,14400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Anschutz Exploration Corporation",50,6642.66406609469,11215,5,50,3,723.86887104393,"No tier",405000,1875000,3750000,1992799.21982841,3985598.43965682,2989198.82974261,937500,1875000,997506,1995012,1496259,187500,375000,300228,600456,450342,112500,225000,201870,403740,302805,0.135487808964141,0.899316519445222,0.27067506360864,1.33749442710655
"3","Bear River Energy, LLC",1,4217,NA,1,0,0,1.27671232876712,"No tier",NA,37500,75000,25302,50604,37953,NA,NA,NA,NA,NA,37500,75000,25302,50604,37953,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Beartooth Oil & Gas Co",25,6634.68,NA,3,25,0,154.863675011809,"No tier",NA,937500,1875000,995202,1990404,1492803,112500,225000,135516,271032,203274,112500,225000,141480,282960,212220,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Clear Creek CBM, Inc.",1,5730,5730,1,1,1,0,"No tier",40000,37500,75000,34380,68760,51570,37500,75000,34380,68760,51570,37500,75000,34380,68760,51570,37500,75000,34380,68760,51570,0.775644754702346,0.775644754702346,0.775644754702346,0.775644754702346
"6","Coastal Plains Energy Inc",38,2634.97368421053,1591.42857142857,26,38,7,156.318847425602,"No tier",615000,1425000,2850000,600774,1201548,901161,525000,1050000,188094,376188,282141,975000,1950000,396036,792072,594054,262500,525000,66840,133680,100260,0.682452969003319,1.03525942086073,2.17976118323817,6.13405146618791
"7","Cochrane Resources Inc",4,7072.25,NA,2,4,0,14.1726972130373,"No tier",NA,150000,3e+05,169734,339468,254601,75000,150000,72954,145908,109431,75000,150000,96780,193560,145170,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Delhi-Trading LLC",6,5534.83333333333,5616,1,6,1,10.144544166273,"No tier",40000,225000,450000,199254,398508,298881,112500,225000,102168,204336,153252,37500,75000,33696,67392,50544,37500,75000,33696,67392,50544,0.133832528665255,0.791389680278569,0.261008012945997,0.791389680278569
"9","Drillex, LLC",1,4600,4600,1,1,1,0.0219178082191781,"No tier",40000,37500,75000,27600,55200,41400,37500,75000,27600,55200,41400,37500,75000,27600,55200,41400,37500,75000,27600,55200,41400,0.966183574879227,0.966183574879227,0.966183574879227,0.966183574879227
"10","Elkhorn Exploration Co",3,8979.06776824489,8979.06776824489,3,3,3,0.0246575342465753,"No tier",240000,112500,225000,161623.219828408,323246.439656816,242434.829742612,112500,225000,161623.219828408,323246.439656816,242434.829742612,112500,225000,161623.219828408,323246.439656816,242434.829742612,112500,225000,161623.219828408,323246.439656816,242434.829742612,0.989956765926756,0.989956765926756,0.989956765926756,0.989956765926756
"11","Golden Eagle Exploration, LLC",3,13779,13588.5,2,3,2,0,"No tier",195000,112500,225000,248022,496044,372033,112500,225000,248022,496044,372033,75000,150000,163062,326124,244593,75000,150000,163062,326124,244593,0.52414705147124,0.797242766555053,0.52414705147124,0.797242766555053
"12","Heavy Sweet Oil, LLC",2,7391.60165236733,7391.60165236733,2,2,1,0,"No tier",130000,75000,150000,88699.219828408,177398.439656816,133048.829742612,37500,75000,44349.609914204,88699.219828408,66524.414871306,75000,150000,88699.219828408,177398.439656816,133048.829742612,37500,75000,44349.609914204,88699.219828408,66524.414871306,0.977084881178511,0.977084881178511,1.95416976235702,1.95416976235702
"13","Homeland Gas & Oil, Inc",21,11081.2857142857,13209,2,21,1,11.0295701464336,"No tier",220000,787500,1575000,1396242,2792484,2094363,750000,1500000,1318242,2636484,1977363,75000,150000,157254,314508,235881,37500,75000,79254,158508,118881,0.105043872528306,0.93267367867696,0.111259288254104,1.8505900858842
"14","Integrated Water Management LLC",2,5510.5,NA,2,0,0,0,"No tier",NA,75000,150000,66126,132252,99189,NA,NA,NA,NA,NA,75000,150000,66126,132252,99189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Iriart, Joe",1,1187,1187,1,1,1,0,"No tier",20000,37500,75000,7122,14244,10683,37500,75000,7122,14244,10683,37500,75000,7122,14244,10683,37500,75000,7122,14244,10683,1.87213329589067,1.87213329589067,1.87213329589067,1.87213329589067
"16","KGH Operating Company",4,6568,NA,4,0,0,104.251676901275,"No tier",NA,150000,3e+05,157632,315264,236448,NA,NA,NA,NA,NA,150000,3e+05,157632,315264,236448,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Linn Bros Oil & Gas Inc",2,1982,1982,2,2,2,0.698630136986301,"No tier",40000,75000,150000,23784,47568,35676,75000,150000,23784,47568,35676,75000,150000,23784,47568,35676,75000,150000,23784,47568,35676,1.12120192846732,1.12120192846732,1.12120192846732,1.12120192846732
"18","Moose Mountain Divide #1, LLC",1,8050,NA,1,0,0,27.7803495512518,"No tier",NA,37500,75000,48300,96600,72450,NA,NA,NA,NA,NA,37500,75000,48300,96600,72450,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Morning Gun Exploration, LLC",1,7814,7814,1,1,1,0,"No tier",65000,37500,75000,46884,93768,70326,37500,75000,46884,93768,70326,37500,75000,46884,93768,70326,37500,75000,46884,93768,70326,0.924266985183289,0.924266985183289,0.924266985183289,0.924266985183289
"20","MountainWest Pipeline, LLC",60,5301.60338841224,NA,15,0,0,0,"No tier",NA,2250000,4500000,1908577.21982841,3817154.43965682,2862865.82974261,NA,NA,NA,NA,NA,562500,1125000,394008,788016,591012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","NADK, LLC",2,7145,NA,2,0,0,4.66537553141238,"No tier",NA,75000,150000,85740,171480,128610,NA,NA,NA,NA,NA,75000,150000,85740,171480,128610,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","NGL Supply Terminal Solution Mining, LLC",3,4926,NA,3,0,0,0,"No tier",NA,112500,225000,88668,177336,133002,NA,NA,NA,NA,NA,112500,225000,88668,177336,133002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","North Shore Exploration & Production, LLC",27,11755.1412303311,11510.9148365034,27,27,21,471.851110061408,"No tier",2495000,1012500,2025000,1904332.87931363,3808665.75862726,2856499.31897045,787500,1575000,1450375.26939943,2900750.53879886,2175562.90409914,1012500,2025000,1904332.87931363,3808665.75862726,2856499.31897045,787500,1575000,1450375.26939943,2900750.53879886,2175562.90409914,0.873446733710148,0.873446733710148,1.14682962983924,1.14682962983924
"24","Northstar Gas, Inc.",4,6679.25,6679.25,4,4,4,0,"No tier",235000,150000,3e+05,160302,320604,240453,150000,3e+05,160302,320604,240453,150000,3e+05,160302,320604,240453,150000,3e+05,160302,320604,240453,0.977321971445563,0.977321971445563,0.977321971445563,0.977321971445563
"25","Orphan-No Responsible Operator",72,4952.92254351587,5151.71003525655,59,72,42,87.728861596599,"No tier",2655000,2700000,5400000,2139662.53879886,4279325.07759771,3209493.80819828,2062500,4125000,1628360.53879886,3256721.07759771,2442540.80819828,2212500,4425000,1809532.92888465,3619065.8577693,2714299.39332698,1575000,3150000,1298230.92888465,2596461.8577693,1947346.39332698,0.827233251928421,0.978152965191399,1.08698286271763,1.36339380045479
"26","Paradox Upstream, LLC",7,6807.28571428571,6371.2,6,7,5,2.18516769012754,"No tier",340000,262500,525000,285906,571812,428859,225000,450000,242766,485532,364149,225000,450000,234276,468552,351414,187500,375000,191136,382272,286704,0.792801363618345,0.967519791471029,0.933683739348454,1.18589206986997
"27","Price River Energy, LLC",15,4493.6,4250.25,15,15,8,162.53330184223,"No tier",625000,562500,1125000,404424,808848,606636,3e+05,6e+05,204012,408024,306018,562500,1125000,404424,808848,606636,3e+05,6e+05,204012,408024,306018,1.03027185989621,1.03027185989621,2.04236352110007,2.04236352110007
"28","Robert L Bayless Producer, LLC",45,7749.06666666667,7581.2,27,45,15,390.094945677846,"No tier",1860000,1687500,3375000,2092248,4184496,3138372,712500,1425000,841350,1682700,1262025,1012500,2025000,1284702,2569404,1927053,562500,1125000,682308,1364616,1023462,0.592663967177887,0.965204382027894,1.47382183395733,1.81736107447077
"29","Rose Petroleum (Utah) LLC",7,9774.85714285714,9205,3,7,2,26.9430325932924,"No tier",255000,262500,525000,410544,821088,615816,150000,3e+05,233850,467700,350775,112500,225000,169104,338208,253656,75000,150000,110460,220920,165690,0.414084726606649,1.00529851452361,0.726961727603164,1.53901864928481
"30","SEP NOSR LLC",2,13509.5,NA,2,0,0,51.8110533774209,"No tier",NA,75000,150000,162114,324228,243171,NA,NA,NA,NA,NA,75000,150000,162114,324228,243171,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Sage Water Resources, LLC",1,9234,NA,1,0,0,0,"No tier",NA,37500,75000,55404,110808,83106,NA,NA,NA,NA,NA,37500,75000,55404,110808,83106,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Shiny One Operating Company, LLC",10,7631.5,7124.33333333333,3,10,3,0.00897496457250827,"No tier",195000,375000,750000,457890,915780,686835,375000,750000,457890,915780,686835,112500,225000,128238,256476,192357,112500,225000,128238,256476,192357,0.28391098298718,1.01374007704425,0.28391098298718,1.01374007704425
"33","Skyline Operating Company, LLC",1,12997,NA,1,0,0,5.97496457250827,"No tier",NA,37500,75000,77982,155964,116973,NA,NA,NA,NA,NA,37500,75000,77982,155964,116973,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Star Oil Operating Company, LLC",134,2330.81792277886,1950,3,134,2,26.1132735002362,"No tier",60000,5025000,10050000,1873977.6099142,3747955.21982841,2810966.41487131,4762500,9525000,1767885.6099142,3535771.21982841,2651828.41487131,112500,225000,34518,69036,51777,75000,150000,23400,46800,35100,0.0213449722069152,1.15881569036445,0.0226258982909766,1.70940170940171
"35","Summit Operating, LLC",11,6510,5617.5,3,11,2,100.857345299953,"No tier",170000,412500,825000,429660,859320,644490,112500,225000,103470,206940,155205,112500,225000,109014,218028,163521,75000,150000,67410,134820,101115,0.263774457322844,1.03962182227359,1.09532553719275,1.68125401770262
"36","Synergy Operating, LLC",3,6368.33333333333,6370,3,3,2,12.0803023145961,"No tier",195000,112500,225000,114630,229260,171945,75000,150000,76440,152880,114660,112500,225000,114630,229260,171945,75000,150000,76440,152880,114660,1.13408357323563,1.13408357323563,1.70068027210884,1.70068027210884
"37","True Oil, LLC",1,15612,15612,1,1,1,0.160037789324516,"No tier",110000,37500,75000,93672,187344,140508,37500,75000,93672,187344,140508,37500,75000,93672,187344,140508,37500,75000,93672,187344,140508,0.782873573034987,0.782873573034987,0.782873573034987,0.782873573034987
"38","Valence Resources, LLC",1,7391.60165236733,7391.60165236733,1,1,1,0,"No tier",65000,37500,75000,44349.609914204,88699.219828408,66524.414871306,37500,75000,44349.609914204,88699.219828408,66524.414871306,37500,75000,44349.609914204,88699.219828408,66524.414871306,37500,75000,44349.609914204,88699.219828408,66524.414871306,0.977084881178511,0.977084881178511,0.977084881178511,0.977084881178511
"39","WEM Operating, LLC",7,5441.85714285714,6282,3,7,1,62.6745394426075,"No tier",195000,262500,525000,228558,457116,342837,112500,225000,78822,157644,118233,112500,225000,113808,227616,170712,37500,75000,37692,75384,56538,0.568783416025691,1.14227470828061,1.64928573240973,3.44900774700202
"40","Water Disposal Inc",1,7391.60165236733,7391.60165236733,1,1,1,0,"No tier",65000,37500,75000,44349.609914204,88699.219828408,66524.414871306,37500,75000,44349.609914204,88699.219828408,66524.414871306,37500,75000,44349.609914204,88699.219828408,66524.414871306,37500,75000,44349.609914204,88699.219828408,66524.414871306,0.977084881178511,0.977084881178511,0.977084881178511,0.977084881178511
"41","Wesco Operating, Inc",39,7840.33333333333,7452,7,39,2,355.916107699575,"No tier",475000,1462500,2925000,1834638,3669276,2751957,450000,9e+05,581298,1162596,871947,262500,525000,339030,678060,508545,75000,150000,89424,178848,134136,0.172604441130439,0.93403730250027,0.544757880926249,3.54118208385519
"42","Wesgra Corporation",64,1217.61268072768,1325.36910920453,45,64,45,3.07945205479452,"No tier",640000,2400000,4800000,467563.269399428,935126.538798856,701344.904099142,2400000,4800000,467563.269399428,935126.538798856,701344.904099142,1687500,3375000,357849.659485224,715699.318970448,536774.489227836,1687500,3375000,357849.659485224,715699.318970448,536774.489227836,0.912532473337155,1.19230703553117,0.912532473337155,1.19230703553117
"43","Western Resources and Clean Energy, LLC",1,6420,NA,1,0,0,13.069815777043,"No tier",NA,37500,75000,38520,77040,57780,NA,NA,NA,NA,NA,37500,75000,38520,77040,57780,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Weststar Exploration Co",61,7197.24590163934,8055.95,20,61,20,0,"No tier",1300000,2287500,4575000,2634192,5268384,3951288,2287500,4575000,2634192,5268384,3951288,750000,1500000,966714,1933428,1450071,750000,1500000,966714,1933428,1450071,0.329006642897202,0.896507826168512,0.329006642897202,0.896507826168512
"45","Zephyr Salt Wash, LLC",1,7391.60165236733,NA,1,0,0,0,"No tier",NA,37500,75000,44349.609914204,88699.219828408,66524.414871306,NA,NA,NA,NA,NA,37500,75000,44349.609914204,88699.219828408,66524.414871306,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","ARB Energy Utah, LLC",161,5959.63732865965,1703,26,161,1,617.662446858762,"3",820000,6037500,12075000,5757009.65948522,11514019.3189704,8635514.48922784,1387500,2775000,1426176,2852352,2139264,975000,1950000,813366,1626732,1220049,37500,75000,10218,20436,15327,0.0949567047826611,0.672104153193847,0.383309399868366,53.5003588438703
"47","Cobra Oil & Gas Corp",25,11680.4,12230,10,25,1,460.350779404818,"3",510000,937500,1875000,1752060,3504120,2628090,187500,375000,357474,714948,536211,375000,750000,689700,1379400,1034550,37500,75000,73380,146760,110070,0.19405728114334,0.49296795708279,0.951118123276098,4.63341509948215
"48","National Fuel Corporation",21,7868.88579296987,10165,7,21,1,227.377893245158,"3",485000,787500,1575000,991479.609914204,1982959.21982841,1487219.41487131,75000,150000,121590,243180,182385,262500,525000,375642,751284,563463,37500,75000,60990,121980,91485,0.32611193422456,0.860748620583783,2.65920991309592,5.30141553260097
"49","Scout Energy Management, LLC",2815,6246.91090997036,5976.96296296296,287,2815,54,8981.25214926782,"3",3760000,105562500,211125000,105510325.269399,211020650.538799,158265487.904099,37800000,75600000,37486412.4396568,74972824.8793136,56229618.6594852,10762500,21525000,10615566,21231132,15923349,2025000,4050000,1936536,3873072,2904804,0.0237575484699379,0.236131230936407,0.0668686733013391,1.29440747120976
"50","Citation Oil & Gas Corp",41,8504.14634146341,NA,13,41,0,679.448464808691,"2",NA,1537500,3075000,2092020,4184040,3138030,37500,75000,56544,113088,84816,487500,975000,878262,1756524,1317393,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Greylock Production, LLC",1276,8456.29388714734,7428.83333333333,118,1276,6,7397.84846480871,"2",1267500,47850000,95700000,64741386,129482772,97112079,8137500,16275000,10687056,21374112,16030584,4425000,8850000,5864376,11728752,8796564,225000,450000,267438,534876,401157,0.0130519294103466,0.144090351641846,0.0790676122591666,3.1596108256867
"52","Quinex Energy Corp",22,13847.0454545455,14300,17,22,1,708.130845536136,"2",532500,825000,1650000,1827810,3655620,2741715,150000,3e+05,365652,731304,548478,637500,1275000,1368858,2737716,2053287,37500,75000,85800,171600,128700,0.194221500046504,0.259340267580713,0.970868476037325,4.13752913752914
"53","Wapiti Operating, LLC",546,8706.42161777424,9999.42857142857,84,546,7,5722.50288143599,"2",1196250,20475000,40950000,28522237.2198284,57044474.4396568,42783355.8297426,3375000,6750000,4040769.6099142,8081539.21982841,6061154.41487131,3150000,6300000,5046642,10093284,7569963,262500,525000,419976,839952,629964,0.0279606397581458,0.158025871460666,0.197363392865384,1.89891803341143
"54","Wexpro Company",85,7524.18144862521,9562.5,11,85,2,809.955786490316,"2",577500,3187500,6375000,3837332.53879886,7674665.07759771,5755998.80819828,187500,375000,276126,552252,414189,412500,825000,573020.439656816,1146040.87931363,859530.659485224,75000,150000,114750,229500,172125,0.100330111114246,0.671878301986187,1.3942910120742,3.35511982570806
"55","Berry Petroleum Company LLC",1338,6305.40404945892,6745.33333333333,56,1338,3,6857.70949456779,"1",597500,50175000,100350000,50619783.7090562,101239567.418112,75929675.5635844,7050000,14100000,7038795.6099142,14077591.2198284,10558193.4148713,2100000,4200000,2220342,4440684,3330513,112500,225000,121416,242832,182124,0.00786912357474314,0.179401791856089,0.0565911208974839,3.2807318090971
"56","Caerus Uinta, LLC",2684,8827.2429240916,8788.91428571429,925,2684,35,28750.9523854511,"1",2387500,100650000,201300000,142153920.049571,284307840.099142,213230880.074357,8437500,16875000,10726242,21452484,16089363,34687500,69375000,49562622,99125244,74343933,1312500,2625000,1845672,3691344,2768508,0.0111967835013739,0.0321142547032049,0.148389964226676,0.86237785839882
"57","Finley Resources, Inc",558,7608.09326399496,8423.2,166,558,10,10750.0629192253,"1",975000,20925000,41850000,25471896.2478551,50943792.4957102,38207844.3717827,2512500,5025000,2884896,5769792,4327344,6225000,12450000,8121010.82974261,16242021.6594852,12181516.2446139,375000,750000,505392,1010784,758088,0.0255183200212169,0.080039297278046,0.225311415038878,1.28613037008896
"58","FourPoint Resources, LLC",551,7971.55072217542,7618,188,551,6,34210.878601795,"1",845000,20662500,41325000,26353946.6875119,52707893.3750238,39530920.0312679,2662500,5325000,3162274.87931363,6324549.75862726,4743412.31897045,7050000,14100000,9216573.6099142,18433147.2198284,13824860.4148713,225000,450000,274248,548496,411372,0.0213756724946353,0.0611217744441774,0.178141798177774,2.05410188345342
"59","Javelin Energy Partners Management, LLC",432,11780.3838651449,14271.7272727273,333,432,11,33895.9217760983,"1",1405000,16200000,32400000,30534754.9784557,61069509.9569113,45802132.4676835,637500,1275000,1439418,2878836,2159127,12487500,24975000,23729618.4892278,47459236.9784557,35594427.7338418,412500,825000,941934,1883868,1412901,0.0306754276341025,0.039472470536847,0.650725964707032,0.99440795922715
"60","Middle Fork Energy Uinta, LLC",1111,8685.9084407392,7559,103,1111,5,37878.202739726,"1",812500,41662500,83325000,57900265.6659676,115800531.331935,86850398.4989514,3712500,7425000,4708155.6099142,9416311.21982841,7062233.41487131,3862500,7725000,4954611.65948522,9909223.31897045,7431917.48922784,187500,375000,226770,453540,340155,0.00935516720754954,0.109325756263801,0.115048590476927,2.38861695403566
"61","SM Energy Company",254,10528.9964207882,13637.7272727273,228,254,11,41191.2354274918,"1",1255000,9525000,19050000,16046190.5452812,32092381.0905624,24069285.8179218,412500,825000,900090,1800180,1350135,8550000,17100000,14651444.836225,29302889.67245,21977167.2543375,412500,825000,900090,1800180,1350135,0.0521411399363389,0.0571047207984601,0.929536675962033,0.929536675962033
"62","Uinta Wax Operating, LLC",562,8095.61609361907,8013.25,247,562,8,22362.4404345772,"1",910000,21075000,42150000,27298417.4676835,54596834.935367,40947626.2015253,1687500,3375000,1775080.82974261,3550161.65948522,2662621.24461392,9262500,18525000,12594912,25189824,18892368,3e+05,6e+05,384636,769272,576954,0.022223510479494,0.0481675986832355,0.341768474145841,1.57724879279804
"63","Urban Oil & Gas Group, LLC",898,3226.01270223772,4140.375,600,898,16,12688.2654700047,"1",1320000,33675000,67350000,17381756.4396568,34763512.8793136,26072634.6594852,1650000,3300000,945618,1891236,1418427,22500000,4.5e+07,11363498.4396568,22726996.8793136,17045247.6594852,6e+05,1200000,397476,794952,596214,0.0506277948983489,0.0774409399247101,0.930608342903794,2.21397015165696
"64","Utah Gas Op Ltd",609,8120.77440051593,8857.44011015782,87,609,15,3540.25460557393,"1",987500,22837500,45675000,29673309.6594852,59346619.3189704,44509964.4892278,3e+06,6e+06,3827637.6099142,7655275.21982841,5741456.41487131,3262500,6525000,4508595.6099142,9017191.21982841,6762893.41487131,562500,1125000,797169.609914204,1594339.21982841,1195754.41487131,0.0221860433125933,0.146017383303503,0.171994687174184,0.825838472949548
"65","Vaquero Uinta, LLC",165,6888.9164337368,6395.33333333333,78,165,3,1721.52102031176,"1",597500,6187500,12375000,6820027.26939943,13640054.5387989,10230040.9040991,450000,9e+05,499196.439656816,998392.879313632,748794.659485224,2925000,5850000,3198348,6396696,4797522,112500,225000,115116,230232,172674,0.0584064135814534,0.124543462229042,0.797949067119102,3.46027774882148
"66","Wolverine Gas & Oil Company of Utah, LLC",40,7779.86504130918,6515,10,40,1,3453.96098252244,"1",232500,1500000,3e+06,1867167.6099142,3734335.21982841,2800751.41487131,187500,375000,202614,405228,303921,375000,750000,505467.609914204,1010935.21982841,758201.414871306,37500,75000,39090,78180,58635,0.0830134365961512,0.306646750374983,0.765001431293,3.96520849322077
