Operator,tot_operator_wells,tot_atrisk,avg_depth,tot_BOE,tot_feestate,tot_feestate_atrisk,avg_atrisk_depth,pct_atrisk,BOEperday,tier1,tier2,tier3,tier,at_risk_threshold,atrisk_bond_count,tier1blanket,tier1marginal,tier2blanket,tier2marginal,tier3blanket,tier3marginal,individual_well_bond,bond
"ARB Energy Utah, LLC",161,45,5876.68231459632,197744.586206897,26,3,4808.66666666667,0.279503105590062,541.765989607936,FALSE,FALSE,FALSE,4,,,4e+05,0,6e+05,0,8e+05,0,1195000,1195000
American Gilsonite Co,1,0,1600,0,1,0,,0,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,20000,20000
Anschutz Exploration Corporation,50,20,6601.26526500078,533606.517241379,6,3,11215,0.4,1461.93566367501,FALSE,FALSE,TRUE,3,0.48,0,2e+05,0,3e+05,0,4e+05,0,470000,4e+05
"Bear River Energy, LLC",1,1,4217,47,1,1,4217,1,0.128767123287671,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
Beartooth Oil & Gas Co,25,3,6634.68,57209.7586206897,3,0,,0.12,156.739064714218,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,190000,190000
Berry Petroleum Company LLC,1329,205,6298.77156553802,2211618.68965517,56,5,6478.4,0.154251316779534,6059.2292867265,TRUE,TRUE,TRUE,1,11.2,0,5e+05,0,750000,0,1e+06,0,3385000,5e+05
"Caerus Uinta, LLC",2663,235,8834.67855801728,10006328.6551724,919,34,8971.85294117647,0.0882463387157341,27414.5990552669,TRUE,TRUE,TRUE,1,183.8,0,1250000,0,1875000,0,2500000,0,69165000,1250000
Citation Oil & Gas Corp,41,1,8504.14634146341,212468.103448276,13,0,,0.024390243902439,582.104393008975,FALSE,TRUE,TRUE,2,1.69,0,3e+05,0,450000,0,6e+05,0,1180000,450000
"Clear Creek CBM, Inc.",1,1,5730,0,1,1,5730,1,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
Coastal Plains Energy Inc,30,11,2276,38583.7931034483,25,6,1302.5,0.366666666666667,105.709022201228,FALSE,FALSE,FALSE,4,,,3e+05,0,450000,0,6e+05,0,575000,575000
Cobra Oil & Gas Corp,25,7,11680.4,202274.448275862,10,3,11166.6666666667,0.28,554.1765706188,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,9e+05,9e+05
Cochrane Resources Inc,4,2,7072.25,5173.79310344828,2,0,,0.5,14.1747756258857,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,130000,130000
"Crescent Energy Operating, LLC",413,28,11804.4579077483,9353877.65517241,323,21,13081.0952380952,0.0677966101694915,25627.0620689655,TRUE,TRUE,TRUE,1,64.6,0,8e+05,0,1200000,0,1600000,0,30680000,8e+05
Delhi-Trading LLC,6,3,5534.83333333333,3963,1,1,5616,0.5,10.8575342465753,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
"Drillex, LLC",1,1,4600,75,1,1,4600,1,0.205479452054795,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
Elkhorn Exploration Co,3,3,8575.23510000518,80.6896551724138,3,3,8575.23510000518,1,0.221067548417572,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,240000,240000
"Finley Resources, Inc",556,67,7576.23655845338,3145637.72413793,165,8,8913.25,0.120503597122302,8618.18554558337,TRUE,TRUE,TRUE,1,33,0,650000,0,975000,0,1300000,0,11750000,650000
"FourPoint Resources, LLC",563,52,7916.4162864127,10413955.7241379,198,9,7173.55555555556,0.0923623445825933,28531.3855455834,TRUE,TRUE,TRUE,1,39.6,0,650000,0,975000,0,1300000,0,14075000,650000
"Golden Eagle Exploration, LLC",3,3,13779,0,2,2,13588.5,1,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,195000,195000
"Greylock Production, LLC",1274,199,8456.79827315542,2665929.65517241,118,2,9435,0.156200941915228,7303.91686348607,TRUE,TRUE,TRUE,1,23.6,0,650000,0,975000,0,1300000,0,8525000,650000
"Heavy Sweet Oil, LLC",2,2,1205,12,2,2,1205,1,0.0328767123287671,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
Integrated Water Management LLC,2,0,5510.5,0,2,0,,0,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,80000,80000
"Iriart, Joe",1,1,1187,53.6206896551724,1,1,1187,1,0.146905999055267,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,20000,20000
KGH Operating Company,4,0,6568,52976.5172413793,4,0,,0,145.141143127067,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,235000,235000
Linn Bros Oil & Gas Inc,2,1,1982,708.068965517241,2,1,1439,0.5,1.93991497401984,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
"Middle Fork Energy Uinta, LLC",1095,71,8712.14489858478,13542439.0689655,103,4,8205,0.0648401826484018,37102.5727916864,TRUE,TRUE,TRUE,1,20.6,0,650000,0,975000,0,1300000,0,6775000,650000
"Moose Mountain Divide #1, LLC",1,0,8050,10733.1379310345,1,0,,0,29.4058573453,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,65000,65000
"MountainWest Pipeline, LLC",60,0,5281.41175500026,0,15,0,,0,0,FALSE,FALSE,FALSE,4,,,3e+05,0,450000,0,6e+05,0,560000,560000
"NADK, LLC",2,1,7145,1489.96551724138,2,1,7150,0.5,4.08209730751063,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,130000,130000
"NGL Supply Terminal Solution Mining, LLC",3,0,4926,0,3,0,,0,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,120000,120000
National Fuel Corporation,21,1,7840.04060238132,77044.3448275862,7,0,,0.0476190476190476,211.080396787907,FALSE,FALSE,TRUE,3,0.56,0,2e+05,0,3e+05,0,4e+05,0,535000,4e+05
"North Shore Exploration & Production, LLC",27,19,13912.8518518519,114760.275862069,27,19,14169.7368421053,0.703703703703704,314.4117146906,FALSE,FALSE,FALSE,4,,,4e+05,0,6e+05,0,8e+05,0,2855000,2855000
"Northstar Gas, Inc.",4,4,6679.25,0,4,4,6679.25,1,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,235000,235000
"Ovintiv USA, Inc.",4,0,11765.75,42507.8275862069,4,0,,0,116.459801606046,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,340000,340000
"Phillips Petroleum, LLC",1,1,13000,267.413793103448,1,1,13000,1,0.732640529050543,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,110000,110000
"Price River Energy, LLC",15,10,4493.6,62240.6896551724,15,10,4074.1,0.666666666666667,170.522437411431,FALSE,FALSE,FALSE,4,,,3e+05,0,450000,0,6e+05,0,625000,625000
Quinex Energy Corp,19,3,13856.7368421053,221443.931034483,15,1,14300,0.157894736842105,606.695701464336,FALSE,TRUE,TRUE,2,1.95,0,3e+05,0,450000,0,6e+05,0,1600000,450000
"Robert L Bayless Producer, LLC",42,14,8043.49649166685,183139.068965517,27,10,7668.1,0.333333333333333,501.750873878129,FALSE,FALSE,FALSE,4,,,4e+05,0,6e+05,0,8e+05,0,1860000,1860000
Rose Petroleum (Utah) LLC,7,6,9774.85714285714,3764.37931034483,3,3,9394.66666666667,0.857142857142857,10.3133679735475,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,255000,255000
SEP NOSR LLC,2,0,13509.5,13293.6206896552,2,0,,0,36.420878601795,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,220000,220000
SM Energy Company,243,9,10542.9698104952,9174156.03448276,203,9,12411,0.037037037037037,25134.6740670761,TRUE,TRUE,TRUE,1,40.6,0,650000,0,975000,0,1300000,0,18545000,650000
"Sage Water Resources, LLC",1,0,9234,0,1,0,,0,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,85000,85000
"Scout Energy Management, LLC",2817,823,6244.53833313813,4145259,286,45,6183.35555555556,0.29215477458289,11356.8739726027,FALSE,FALSE,TRUE,3,22.88,20,8e+05,650000,1200000,650000,1600000,640000,16055000,2240000
"Shiny One Operating Company, LLC",10,10,7631.5,6.03448275862069,3,3,7124.33333333333,1,0.0165328294756731,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,195000,195000
"Skyline Operating Company, LLC",1,1,12997,223.793103448276,1,1,12997,1,0.613131790269249,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,110000,110000
"Star Oil Operating Company, LLC",134,124,2326.29740783588,15453.4827586207,3,1,1150,0.925373134328358,42.3383089277279,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,60000,60000
"Summit Operating, LLC",11,3,6510,14223.7586206897,3,2,5617.5,0.272727272727273,38.9692017005196,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,170000,170000
"Synergy Operating, LLC",3,2,6368.33333333333,2050.34482758621,3,2,6370,0.666666666666667,5.61738308927728,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,195000,195000
"Uinta Wax Operating, LLC",554,59,8074.56889693177,6762704.06896552,250,19,8377.78947368421,0.106498194945848,18527.9563533302,TRUE,TRUE,TRUE,1,50,0,650000,0,975000,0,1300000,0,17580000,650000
"Urban Oil & Gas Group, LLC",900,44,3229.82051111111,4430469.82758621,603,16,3617.25,0.0488888888888889,12138.2735002362,TRUE,TRUE,TRUE,1,120.6,0,1e+06,0,1500000,0,2e+06,0,19460000,1e+06
"Utah Energy Acquisitions, LLC",8,4,3981.125,3963.96551724138,1,1,3325,0.5,10.8601794992914,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,40000,40000
Utah Gas Op Ltd,608,97,8110.73587269742,1153158.44827586,87,19,8820.20277105304,0.159539473684211,3159.33821445442,TRUE,TRUE,TRUE,1,17.4,0,5e+05,0,750000,0,1e+06,0,6380000,5e+05
"Valence Resources, LLC",1,1,6785.85265000777,0,1,1,6785.85265000777,1,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,65000,65000
"Vaquero Uinta, LLC",169,6,6861.38685887625,655153.482758621,82,0,,0.0355029585798817,1794.94104865376,TRUE,TRUE,TRUE,1,16.4,0,5e+05,0,750000,0,1e+06,0,5325000,5e+05
"WEM Operating, LLC",19,2,6785.99058947696,85581.7931034483,3,0,,0.105263157894737,234.470666036845,FALSE,FALSE,TRUE,3,0.24,0,2e+05,0,3e+05,0,4e+05,0,195000,4e+05
"Wapiti Operating, LLC",545,140,8707.81807825689,1419813.93103448,84,22,10710.6818181818,0.256880733944954,3889.90118091639,FALSE,FALSE,TRUE,3,6.72,10,5e+05,325000,750000,325000,1e+06,320000,7130000,1320000
Water Disposal Inc,1,1,15814,0,1,1,15814,1,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,110000,110000
"Wesco Operating, Inc",38,13,7847.44736842105,145453.310344828,7,2,7452,0.342105263157895,398.502220122815,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,475000,475000
Wesgra Corporation,63,63,1168.04711984213,794,44,44,1270.61627045561,1,2.17534246575342,FALSE,FALSE,FALSE,4,,,4e+05,0,6e+05,0,8e+05,0,635000,635000
"Western Resources and Clean Energy, LLC",1,0,6420,540.896551724138,1,0,,0,1.48190836088805,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,65000,65000
Weststar Exploration Co,60,60,7182.45,0,19,19,8054.42105263158,1,0,FALSE,FALSE,FALSE,4,,,3e+05,0,450000,0,6e+05,0,1235000,1235000
Wexpro Company,78,2,7539.35330705158,338190.620689655,7,1,6800,0.0256410256410256,926.549645725083,FALSE,TRUE,TRUE,2,0.91,0,2e+05,0,3e+05,0,4e+05,0,535000,3e+05
"Wolverine Gas & Oil Company of Utah, LLC",39,5,7789.82051282051,1166375.10344828,9,1,6515,0.128205128205128,3195.54822862541,TRUE,TRUE,TRUE,1,1.8,0,2e+05,0,3e+05,0,4e+05,0,690000,2e+05
"Zephyr Salt Wash, LLC",1,1,6785.85265000777,0,1,1,6785.85265000777,1,0,FALSE,FALSE,FALSE,4,,,2e+05,0,3e+05,0,4e+05,0,65000,65000
